pokemonId,pokemonName,ndexId,moveIds,generation
3,venusaur,3,"14,15,33,63",1
3,venusaur,3,"22,34,45,63",1
3,venusaur,3,"36,38,63,73",1
3,venusaur,3,"63,72,74,75",1
25,pidgeot,18,"13,16,17,63",1
25,pidgeot,18,"18,19,28,63",1
25,pidgeot,18,"36,63,98,119",1
29,raticate,20,"33,34,58,158",1
29,raticate,20,"33,36,63,116",1
29,raticate,20,"34,38,63,162",1
29,raticate,20,"36,39,58,162",1
29,raticate,20,"38,58,85,98",1
29,raticate,20,"39,55,63,158",1
29,raticate,20,"55,58,116,129",1
29,raticate,20,"59,63,87,98",1
113,magneton,82,"33,38,49,63",1
113,magneton,82,"36,48,63,84",1
114,farfetchd,83,"13,14,15,28",1
114,farfetchd,83,"13,18,19,163",1
114,farfetchd,83,"13,31,34,36",1
114,farfetchd,83,"13,38,64,130",1
114,farfetchd,83,"14,18,31,38",1
114,farfetchd,83,"14,19,34,64",1
114,farfetchd,83,"14,43,97,115",1
114,farfetchd,83,"15,18,34,43",1
114,farfetchd,83,"15,19,31,92",1
114,farfetchd,83,"15,36,64,97",1
114,farfetchd,83,"18,28,36,130",1
114,farfetchd,83,"19,28,38,43",1
114,farfetchd,83,"19,97,129,130",1
114,farfetchd,83,"28,31,64,99",1
114,farfetchd,83,"28,34,97,163",1
114,farfetchd,83,"31,43,102,163",1
114,farfetchd,83,"64,92,104,163",1
162,starmie,121,"33,55,63,86",1
162,starmie,121,"36,63,100,106",1
163,mr-mime,122,"3,5,25,93",1
163,mr-mime,122,"3,34,36,96",1
163,mr-mime,122,"3,38,63,112",1
163,mr-mime,122,"5,34,112,113",1
163,mr-mime,122,"5,38,76,96",1
163,mr-mime,122,"25,63,85,96",1
163,mr-mime,122,"36,38,93,113",1
163,mr-mime,122,"66,68,87,96",1
163,mr-mime,122,"69,86,96,112",1
163,mr-mime,122,"92,94,96,113",1
184,porygon,137,"33,36,38,159",1
184,porygon,137,"33,58,59,60",1
184,porygon,137,"33,63,85,105",1
184,porygon,137,"33,86,87,160",1
184,porygon,137,"33,92,94,97",1
184,porygon,137,"36,58,63,160",1
184,porygon,137,"36,59,97,100",1
184,porygon,137,"36,60,85,86",1
184,porygon,137,"38,58,97,105",1
184,porygon,137,"38,59,85,160",1
184,porygon,137,"38,60,63,87",1
184,porygon,137,"58,85,87,159",1
184,porygon,137,"59,63,86,159",1
184,porygon,137,"60,92,99,159",1
184,porygon,137,"60,94,100,160",1
184,porygon,137,"60,97,102,104",1
184,porygon,137,"60,105,115,129",1
184,porygon,137,"63,97,99,149",1
184,porygon,137,"85,97,115,161",1
184,porygon,137,"92,102,105,160",1
184,porygon,137,"94,102,115,159",1
184,porygon,137,"97,117,129,159",1
184,porygon,137,"97,130,148,160",1
184,porygon,137,"99,104,115,160",1
184,porygon,137,"100,104,105,159",1
184,porygon,137,"117,149,156,160",1
184,porygon,137,"129,160,161,164",1
184,porygon,137,"130,149,159,161",1
184,porygon,137,"148,156,159,164",1
14,blastoise,9,"5,25,63,145",1
14,blastoise,9,"5,33,44,89",1
14,blastoise,9,"5,39,56,90",1
14,blastoise,9,"25,33,90,110",1
14,blastoise,9,"25,56,89,91",1
14,blastoise,9,"33,56,63,66",1
14,blastoise,9,"34,39,63,110",1
14,blastoise,9,"34,44,90,115",1
14,blastoise,9,"36,39,89,145",1
14,blastoise,9,"38,90,91,145",1
14,blastoise,9,"44,55,63,91",1
35,pikachu,25,"5,6,25,97",1
35,pikachu,25,"5,34,45,98",1
35,pikachu,25,"5,36,84,21",1
35,pikachu,25,"5,38,113,57",1
35,pikachu,25,"5,85,129,39",1
35,pikachu,25,"6,34,36,113",1
35,pikachu,25,"6,38,45,21",1
35,pikachu,25,"6,66,69,98",1
35,pikachu,25,"6,84,85,57",1
35,pikachu,25,"6,86,87,39",1
35,pikachu,25,"25,34,84,39",1
35,pikachu,25,"25,36,98,57",1
35,pikachu,25,"25,45,129,113",1
35,pikachu,25,"25,66,86,21",1
35,pikachu,25,"34,66,85,97",1
35,pikachu,25,"34,69,115,21",1
35,pikachu,25,"36,45,69,97",1
35,pikachu,25,"45,66,87,57",1
35,pikachu,25,"69,148,39,57",1
35,pikachu,25,"84,97,98,113",1
35,pikachu,25,"85,87,98,21",1
35,pikachu,25,"92,97,148,21",1
35,pikachu,25,"99,102,21,39",1
35,pikachu,25,"104,117,21,113",1
8,charizard,6,"5,10,14,63",1
8,charizard,6,"5,15,43,89",1
8,charizard,6,"5,25,45,19",1
8,charizard,6,"5,34,52,90",1
8,charizard,6,"10,15,25,90",1
8,charizard,6,"10,34,36,19",1
8,charizard,6,"10,38,52,89",1
8,charizard,6,"14,15,52,19",1
8,charizard,6,"14,25,53,89",1
8,charizard,6,"14,36,43,90",1
8,charizard,6,"15,34,53,63",1
8,charizard,6,"25,36,63,83",1
8,charizard,6,"34,45,82,89",1
8,charizard,6,"36,68,89,163",1
8,charizard,6,"38,43,53,19",1
8,charizard,6,"38,45,83,90",1
8,charizard,6,"38,63,82,163",1
8,charizard,6,"43,45,52,63",1
8,charizard,6,"53,66,68,90",1
8,charizard,6,"66,69,83,89",1
8,charizard,6,"66,70,163,19",1
8,charizard,6,"68,82,83,19",1
8,charizard,6,"69,90,115,163",1
18,butterfree,12,"13,18,48,16",1
18,butterfree,12,"36,38,60,16",1
18,butterfree,12,"63,72,76,16",1
18,butterfree,12,"77,78,79,16",1
18,butterfree,12,"92,93,94,16",1
18,butterfree,12,"99,100,102,16",1
18,butterfree,12,"104,115,149,16",1
18,butterfree,12,"117,129,16,148",1
21,beedrill,15,"14,15,31,41",1
21,beedrill,15,"14,36,38,42",1
21,beedrill,15,"14,63,72,97",1
21,beedrill,15,"14,92,115,116",1
21,beedrill,15,"15,36,72,116",1
21,beedrill,15,"15,42,63,92",1
21,beedrill,15,"31,38,63,116",1
21,beedrill,15,"31,42,72,99",1
21,beedrill,15,"36,41,63,99",1
21,beedrill,15,"38,41,72,92",1
21,beedrill,15,"41,42,97,102",1
21,beedrill,15,"41,104,115,117",1
21,beedrill,15,"41,116,129,130",1
21,beedrill,15,"42,104,116,156",1
32,fearow,22,"13,18,31,63",1
32,fearow,22,"19,43,63,65",1
32,fearow,22,"36,45,63,119",1
34,arbok,24,"34,35,40,63",1
34,arbok,24,"36,38,63,137",1
34,arbok,24,"43,44,51,63",1
34,arbok,24,"63,70,72,103",1
36,raichu,26,"5,6,63,84",1
40,sandslash,28,"10,14,28,63",1
40,sandslash,28,"15,34,40,63",1
40,sandslash,28,"36,63,89,154",1
40,sandslash,28,"63,66,157,163",1
43,nidorina,30,"10,24,32,44",1
43,nidorina,30,"10,33,45,55",1
43,nidorina,30,"10,40,58,154",1
43,nidorina,30,"24,33,61,154",1
43,nidorina,30,"24,34,45,58",1
43,nidorina,30,"32,34,36,154",1
43,nidorina,30,"32,38,40,45",1
43,nidorina,30,"34,40,44,55",1
43,nidorina,30,"38,55,115,154",1
43,nidorina,30,"39,44,45,61",1
44,nidoqueen,31,"5,6,10,32",1
44,nidoqueen,31,"5,25,39,40",1
44,nidoqueen,31,"6,33,34,39",1
44,nidoqueen,31,"10,25,33,36",1
44,nidoqueen,31,"10,34,40,57",1
44,nidoqueen,31,"10,38,39,89",1
44,nidoqueen,31,"10,55,58,90",1
44,nidoqueen,31,"10,59,61,126",1
44,nidoqueen,31,"10,63,66,24",1
44,nidoqueen,31,"10,68,85,115",1
44,nidoqueen,31,"32,39,57,115",1
44,nidoqueen,31,"36,39,68,24",1
46,nidorino,33,"24,30,31,55",1
46,nidorino,33,"24,32,43,58",1
46,nidorino,33,"24,33,61,116",1
46,nidorino,33,"30,34,58,116",1
46,nidorino,33,"30,40,43,61",1
46,nidorino,33,"31,32,61,115",1
46,nidorino,33,"31,33,36,58",1
46,nidorino,33,"32,36,55,116",1
47,nidoking,34,"5,6,30,33",1
47,nidoking,34,"5,25,32,37",1
47,nidoking,34,"6,34,37,40",1
47,nidoking,34,"25,30,34,115",1
47,nidoking,34,"30,32,40,57",1
47,nidoking,34,"30,36,37,38",1
47,nidoking,34,"30,55,63,24",1
47,nidoking,34,"33,37,55,57",1
47,nidoking,34,"37,58,59,85",1
47,nidoking,34,"37,61,63,87",1
47,nidoking,34,"37,66,68,24",1
47,nidoking,34,"37,69,70,115",1
47,nidoking,34,"37,89,90,157",1
